name,nome
ability and willingness to travel,capacidade e vontade de viagem
ability to adapt,capacidade de adaptação
ability to analyze,capacidade de analisar
ability to anticipate,capacidade de antecipar
ability to buy and sell,capacidade de comprar e vender
ability to communicate,Capacidade de comunicar
ability to compile a report,capacidade de compilar um relatório
ability to conceptualize,capacidade de conceituar
ability to consultatively sell,capacidade de vender consultatively
ability to continually learn,capacidade de aprender continuamente
ability to coordinate,capacidade de coordenar
ability to effectively prioritize,capacidade para eficazmente prioritize
ability to elicit cooperation,capacidade de cooperação induzem
ability to foster cooperation,capacidade de promover a cooperação
ability to interact,capacidade de interagir
ability to interpret,capacidade de interpretar
ability to lead and coordinate,capacidade de liderar e coordenar
ability to learn,capacidade de aprender
ability to learn and adapt,capacidade de aprender e adaptar
ability to listen,capacidade de ouvir
ability to manage,capacidade de gerir
ability to manageorganise,capacidade de manageorganise
ability to motivate,capacidade de motivar
ability to navigate and manage,capacidade de navegar e gerenciar
ability to negotiate,capacidade de negociar
ability to obtain and analyze,capacidade de obter e analisar
ability to organize,capacidade de organizar
ability to persuade,capacidade de persuadir
ability to plan,capacidade de planejar
ability to plan and prioritize,capacidade de planejar e priorizar
ability to present and report,capacidade de presente e relatório
ability to prioritize,capacidade de priorizar
ability to read and interpret,capacidade de ler e interpretar
ability to report,capacidade de relatório
ability to sell,capacidade de vender
ability to travel,capacidade de curso
ability to up sell,capacidade de vender-se
able to communicate,capaz de se comunicar
able to influence and persuade,capaz de influenciar e persuadir
able to influence and persuade able to influence and persuade,capaz de influenciar e persuadir capaz de influenciar e persuadir
able to manage and prioritize,capaz de gerenciar e priorizar
able to multitask,capazes de multitarefa
able to multitask and prioritize,capaz de executar múltiplas tarefas e priorizar
able to persuade,capaz de persuadir
able to prioritize,capaz de priorizar
absenceable to communicate,absenceable para se comunicar
abstract thinking,pensamento abstrato
accuracy,precisão
accuracy in all work,precisão em todo o trabalho
accuracy in their work,precisão no seu trabalho
accuracy in your work,precisão em seu trabalho
accuracy in your workalways,precisão em seus workalways
accurate,preciso
achiever,empreendedor
achieving challenging goals,alcançar metas desafiadoras
achieving company goals,alcançar os objetivos da empresa
achieving goals,atingir metas
achieving their own goals,alcançar seus próprios objetivos
achieving your goals,alcançar seus objetivos
action oriented,ação orientada
active,ativo
active and outgoing personality,personalidade ativa e de saída
active in person,activo em pessoa
active person,Pessoa ativa
active sales person,pessoa vendas activas
administrative details skills,Detalhes administrativos habilidades
administrative skills,capacidades administrativas
advocacy skills,habilidades de advocacia
affirmative,afirmativo
aggressive,agressivo
ambitious,ambicioso
analysis and problemsolving skills,análise e habilidades de resolução de problemas
analysis services skills,habilidades de serviços de análise
analysis skills,habilidades de análise
analytic and numeric skills,habilidades analíticas e numéricas
analytic problem solving skills,habilidades para resolver problemas analítica
analytic skills,habilidades analíticas
analytic statistic focused skills,estatística analítica focada habilidades
analytical,analítico
analytical abilities,habilidades analíticas
analytical analytical,analítica analítica
analytical and creative thinking skills,habilidades de pensamento analítico e criativo
analytical and critical thinking skills,habilidades de pensamento analítico e crítico
analytical and logical thinking,pensamento analítico e lógico
analytical and numerical abilities,habilidades analíticas e numéricas
analytical and written skills,habilidades analíticas e escritas
analytical background and mind,fundo analítica ea mente
analytical mind,mente analítica
analytical skills,habilidades analíticas
analytical thinking,pensamento analítico
analytical thinking computer skills,conhecimentos de informática pensamento analítico
analytical thinking skills,habilidades de pensamento analítico
analytical way of thinking,maneira analítica de pensar
articulate,articular
assertive,assertivo
assertiveness,assertividade
attention to detail,atenção aos detalhes
attention to detail contact details,A atenção ao detalhe detalhes de contato
attention to details,Atenção aos detalhes
attentive,atento
attentive to details,atenta aos detalhes
autonomy,autonomia
availability,disponibilidade
be a creative,ser um criativo
be creative,seja criativo
be innovative and creative,ser inovador e criativo
building,construção
buildingassertiveness,buildingassertiveness
business programme leader,líder do programa de negócios
business travel team leader,líder da equipe viagens de negócios
calm,calma
challenger,desafiador
championchallenger,championchallenger
character,personagem
cheerful personality,personalidade alegre
client and quality orientation,orientação para o cliente e qualidade
client billing skills,habilidades de faturamento do cliente
client facing skills,habilidades voltados cliente
client handling skills,habilidades de manuseio de cliente
client learning orientation,orientação de aprendizagem cliente
client orientation,orientação para o cliente
client oriented,orientação para o cliente
client relationships,relacionamento com o cliente
client service orientation,orientação para o serviço cliente
client service oriented,serviço de orientação para o cliente
coaching,treinamento
coaching and mentoring skills,Coaching e Mentoring habilidades
coaching and motivational skills,treinamento e motivacionais habilidades
coaching skills,habilidades de coaching
collaborationcooperation skills,habilidades collaborationcooperation
collaborative,colaborativa
commitment,comprometimento
commitment to accountability,compromisso com a responsabilidade
commitment to our community accountability,compromisso com a nossa prestação de contas comunidade
commitment to teamwork,compromisso com o trabalho em equipe
commitment to work,compromisso com o trabalho
committed,comprometido
communicable,comunicável
communicate easily,comunicar facilmente
communicating and writing skills,comunicação e habilidades de escrita
communicating skills,comunicando habilidades
communication abilities,habilidades de comunicação
communication and interpersonal abilities,habilidades de comunicação e interpessoais
communication and interpersonal skills,habilidades de comunicação e interpessoais
communication and organisational skills,habilidades de comunicação e organizacionais
communication skill,Habilidade em comunicação
communication skills,habilidades de comunicação
communications skills,habilidades de comunicação
communicative,comunicativo
communicator,comunicador
competenciesleadership traits ability,capacidade traços competenciesleadership
competitive,competitivo
computer skills,conhecimentos de informática
conceptual design skills,habilidades de projeto conceitual
conceptual organisational skills,habilidades organizacionais conceituais
conceptual skills,habilidades conceituais
conceptual thinking,pensamento conceitual
conceptual thinking skills,habilidades de pensamento conceitual
conceptualization,conceituação
conceptualization skills,habilidades de conceituação
confident,confiante
confident and dynamic personality,confiante e dinâmica personalidade
confident and outgoing personality,personalidade confiante e extrovertido
confident outgoing personality,personalidade extrovertida confiante
confident personality,personalidade confiante
confident strong personality,personalidade forte confiante
conflict management,conflito de gestão
conflict management skills,habilidades de gestão de conflitos
consistent,consistente
constructive and proactive feedback,feedback construtivo e pró-ativa
constructive feedback,feedback construtivo
consulting skills,consultoria habilidades
coordinate,coordenada
coordinating any testing skills,coordenar todas as habilidades de teste
coordinating skills,coordenação habilidades
coordination skills,habilidades de coordenação
correct ppe reporting,relatórios EPI correto
correct procedures reporting,procedimentos corretos de relatórios
correct reporting,relatórios corretos
correct valuation and reporting,avaliação e relatórios corretos
counseling,aconselhamento
counselling skills,habilidades de aconselhamento
courteous,cortês
courteous manner,cortês
courteous telephone manner,forma telefone cortês
courtesy,cortesia
creative,criativo
creative and critical thinking skillshighly,pensamento crítico e criativo skillshighly
creative and forward thinking,pensamento criativo e para a frente
creative and innovative approach,abordagem criativa e inovadora
creative and strategic thinking,pensamento criativo e estratégico
creative approach,abordagem criativa
creative blue sky approach,abordagem criativa céu azul
creative flair and imagination,talento criativo e imaginação
creative imagination,imaginação criativa
creative in your approach,criativo na sua abordagem
creative thinking,pensamento criativo
creative thinking and collaborative skills,pensamento criativo e habilidades colaborativas
creative thinking and conceptual skills,pensamento criativo e habilidades conceituais
creative thinking key skills,competências-chave de pensamento criativo
creativity,criatividade
creativity and analytical thinking,criatividade e pensamento analítico
creativity and forward thinking,criatividade e visão de futuro
creativity in thinking,criatividade no pensamento
critical thinking,pensamento crítico
critical thinking skills,habilidades de pensamento crítico
cultural sensitivity,sensibilidade cultural
curious,curioso
curiousan,curiousan
customer focus self development and interpersonal skills,foco no cliente auto-desenvolvimento e habilidades interpessoais
customer orientation,orientação para o cliente
customer orientation skills,habilidades de orientação ao cliente
customer relationship development skills,desenvolvimento de competências de relacionamento com clientes
customer service ethic,ética de serviço ao cliente
customer service ethics,ética de serviço ao cliente
customer service orientation,orientação de serviço do consumidor
customer service orientation skills,habilidades de orientação de serviço ao cliente
deadline oriented,prazo orientada
decision making abilities,habilidades tomada de decisão
decision making skills,habilidades de tomada de decisão
decision making skills skills,Habilidades tomada de decisão
dedicated,dedicada
dedicated person,pessoa dedicada
dedication,dedicação
dedication and drive to provide quality,dedicação e unidade para proporcionar qualidade
dedication to quality,dedicação à qualidade
dedication to writing quality,dedicação à qualidade da escrita
delegation skills,habilidades de delegação
desire to learn,vontade de aprender
desire to succeed and learn,o desejo de ter sucesso e aprender
detailed,detalhado
detailed oriented,focado nos detalhes
development excellent communication skills,desenvolvimento excelentes habilidades de comunicação
development skills,desenvolvimento de competências
diligence,diligência
diligent,diligente
diplomacy,diplomacia
diplomacy and coordination skills,habilidades de diplomacia e coordenação
diplomacy and interpersonal skills,diplomacia e habilidades interpessoais
diplomacy skills,habilidades de diplomacia
diplomatic,diplomático
diplomatic and positive manner,forma diplomática e positiva
diplomatic manner,forma diplomática
discipline,disciplina
disciplined,disciplinado
disciplinedprofessional attitude,atitude disciplinedprofessional
discretion,critério
draftspersonnegotiator,draftspersonnegotiator
driven,dirigido
dynamic and driven person,pessoa dinâmica e conduzido
dynamic and proactive person,dinâmico e pessoa pró-ativa
dynamic person,pessoa dinâmica
dynamic personality,personalidade dinâmica
dynamic sales person,dinâmica pessoa de vendas
eager to learn,ansioso para aprender
easy going,maleável
educational and care skills,habilidades educacionais e de cuidados
educational and social skills,educacional e habilidades sociais
educational skills,habilidades educacionais
effectiveness,eficácia
efficient,eficiente
empathy,empatia
encouraging and facilitating innovation,incentivar e facilitar a inovação
encouraging innovation,inovação incentivando
energetic,enérgico
energy,energia
energy sectorenergy brokerageenergy energy energy,energia energia brokerageenergy energia sectorenergy
enthusiasm,entusiasmo
enthusiastic,entusiasmado
enthusiastic account manager to learn,gerente de contas entusiasmado para aprender
enthusiastic and determined personality,personalidade entusiasta e determinado
enthusiastic and willing to learn,entusiástico e disposto a aprender
enthusiastic energetic personality,entusiástica personalidade enérgica
enthusiastic individual keen to learn,entusiasta indivíduo interessado em aprender
enthusiastic nature and personality,natureza entusiasta e personalidade
enthusiastic personality,personalidade entusiasta
enthusiastic students eager to learn,estudantes entusiastas ansioso para aprender
ethical,ético
ethical standards,padrões éticos
facilitating meeting skills,facilitando habilidades de reunião
facilitating skills,facilitando habilidades
facilitation and coaching skills,facilitação e habilidades de coaching
facilitation and consultancy skills,facilitação e consultoria habilidades
facilitation and influencing skills,facilitação e habilidades que influenciam
facilitation and negotiation skills,habilidades de facilitação e negociação
facilitation and presentation skills,habilidades de facilitação e de apresentação
facilitation skills,habilidades de facilitação
flexibility,flexibilidade
flexibilityteamwork,flexibilityteamwork
flexible,flexível
flexible with hours,flexível com hora
flexible with regards to hours,flexível no que diz respeito a hora
flexible with working hours,flexível com as horas de trabalho
followthrough,followthrough
for multitasking,para multitarefa
for prioritizing and multitasking,para priorizar e multitarefa
forward thinking,visão de futuro
friendly and outgoing personality,personalidade amigável e de saída
friendly personality,personalidade amigável
friendly professional personality,amigável personalidade profissional
goal oriented,objetivo orientado
goaloriented,objetivo orientado
hard worker,trabalhador
hard working,trabalha duro
hard working and driven person,trabalhando duro e pessoa conduzido
hard working person,pessoa trabalhadora
hard working sales person,duro pessoa de vendas de trabalho
hardworker,trabalhador
hardworking,trabalha duro
honest,honesto
honesty,honestidade
hospitable,hospitaleiro
household tasks the skills,tarefas domésticas as habilidades
human relations,relações humanas
humor,humor
imagination,imaginação
independent,independente
independent living worker,trabalhador vida independente
independent worker,trabalhador independente
influencing and negotiating skills,influenciando e habilidades de negociação
influencing skills,influenciando habilidades
ingenuity,ingenuidade
initiative,iniciativa
initiative a person,iniciativa uma pessoa
initiative and creative thinking,iniciativa e pensamento criativo
initiative and result driven,iniciativa e resultado impulsionado
initiative and results driven,iniciativa e resultados impulsionada
initiative and thinking,iniciativa e pensamento
initiative driven,iniciativa orientada
initiative person,iniciativa pessoa
initiative target driven,alvo iniciativa orientada
innovation,inovação
innovation and skills,inovação e habilidades
innovation background and skills,fundo inovação e habilidades
innovation skills,competências de inovação
innovationthe,innovationthe
innovative,Inovativa
innovative and forward thinking,pensamento inovador e para a frente
innovative thinking,pensamento inovador
innovativeness,inovação
inspired,inspirado
integrity,integridade
intercultural skills,competências interculturais
interest and desire to learn,interesse e desejo de aprender
interest to learn,interesse para aprender
international outlook,Perspectiva internacional
interpersonal communication skills,habilidades de comunicação interpessoal
interpersonal skills,habilidades interpessoais
interpretation skills,habilidades de interpretação
judgement skills,habilidades de julgamento
judgment,julgamento
judgment and decisionmaking skills,julgamento e habilidades de tomada de decisão
judgment and skills,julgamento e habilidades
judgment skills,habilidades de julgamento
language skills,habilidades de linguagem
leader,líder
leadership,Liderança
leadership ability,habilidade de liderança
leadership and delegation skills,habilidades de liderança e delegação
leadership and management skills,habilidades de liderança e gestão
leadership skills,habilidades de liderança
leadership skills ability,capacidade habilidades de liderança
leadership with the ability,liderança com a capacidade
learn quickly,aprenda rapidamente
learning and skills,aprendizagem e habilidades
learning and thinking skills,habilidades de aprendizagem e de pensamento
learning disability skills,aprender habilidades de deficiência
learning programmes essential skills,programas de aprendizagem de competências essenciais
level of motivation,nível de motivação
level of personal motivation,nível de motivação pessoal
level of self motivation,nível de auto-motivação
listen good motivation skills,ouvir boa capacidade de motivação
listening and communication skills,habilidades de escuta e comunicação
listening and questioning skills,habilidades de escuta e de questionamento
listening skills,habilidades auditivas
lively,animado
lively and sociable personality,personalidade animada e sociável
lively personality,personalidade viva
logical,lógico
loyalty,fidelidade
make decisions,tomar decisões
make quick accurate decisions,tomar decisões rápidas precisas
makes timely decisions,toma decisões oportunas
manage multiple projects and tasks,gerenciar múltiplos projetos e tarefas
manage multiple tasks,gerenciar múltiplas tarefas
management and communication skills management skills,habilidades de gerenciamento de gestão e habilidades de comunicação
management and sales skill,gestão e vendas habilidade
management skill,Habilidade de gerenciamento
management skills,habilidades gerenciais
management skills management skills,habilidades de gerenciamento de competências de gestão
management skills presentation skills,habilidades de gerenciamento de habilidades de apresentação
managerial ability,capacidade gerencial
managerial and leadership skills,habilidades gerenciais e de liderança
managerial and motivational skills,habilidades gerenciais e motivacionais
managerial competences ability,capacidade competências gerenciais
managerial level with ability,nível gerencial com capacidade
managerial skills,habilidades gerenciais
managerial skills ability,capacidade habilidades gerenciais
manages own time effectively,administra próprio tempo de forma eficaz
manages time effectively,gere o tempo de forma eficaz
managing and assigning tasks,gestão e atribuição de tarefas
managing and executing tasks,gerenciamento e execução de tarefas
managing several tasks,gerenciar várias tarefas
managing tasks,gerenciamento de tarefas
managing the tasks,gerenciar as tarefas
manner,maneira
marketing and dissemination skills,habilidades de marketing e divulgação
marketing skills,habilidades de marketing
marketing strong communication skills,comercialização fortes habilidades de comunicação
mature,maduro
mature and outgoing personality,madura e personalidade extrovertida
mature independent personality,amadurecer personalidade independente
mature personality,personalidade madura
maturity,maturidade
meeting deadlines,cumprimento de prazos
meeting pre agreed deadlines,pre reunião prazos acordados
meeting weekly payment deadlines,cumprimento de prazos de pagamento semanais
memory management skills,habilidades de gerenciamento de memória
mentoring and coaching skills,mentoring e coaching habilidades
mentoring skills,mentoring habilidades
methodical,metódico
monitoring and analytical skills,monitoramento e habilidades analíticas
monitoring and reporting skills,monitoramento e relatórios habilidades
monitoring reporting key skills,monitoramento de relatórios competências-chave
monitoring skills,monitoramento de habilidades
monitoring some unix skills,monitoramento de algumas habilidades unix
monitoring tools scripting skills,monitoramento de ferramentas de script habilidades
motivated,motivado
motivating,motivando
motivation,motivação
multitask detail oriented,multitarefa detalhe orientado
multitask oriented,multitask orientada
multitasking skills,multitarefa habilidades
negotiation and closing skills,habilidades de negociação e fechamento
negotiation and communication skills,habilidades de negociação e comunicação
negotiation and diplomacy skills,habilidades de negociação e diplomacia
negotiation and influencing skills,negociação e habilidades de influenciar
negotiator,negociador
negotiator negotiator,negociador negociador
nice,legais
object oriented c development skills,habilidades c de desenvolvimento orientado a objetos
object oriented design skills,orientadosa habilidades de design
object oriented programming skills,habilidades de programação orientada a objeto
open minded,mente aberta
open to a change,abrir a uma mudança
open to change,aberta à mudança
openminded,mente aberta
oral communication skills,habilidades de comunicação oral
oral english language skills,competências linguísticas Inglês orais
oral skills,habilidades orais
organisational and administrative skills,habilidades organizacionais e administrativos
organisational and prioritisation skills,capacidade de organização e priorização
organisational skills,habilidades organizacionais
organising skills,organizando habilidades
organization and communication skills,habilidades de organização e comunicação
organization skills,Habilidades de organização
organizational,organizacional
organizational and analytical skills,habilidades organizacionais e analíticas
organizational capabilities,capacidades organizacionais
organizational capabilitiesability,capabilitiesability organizacional
organizational skills,habilidades organizacionais
organized,organizado
organized and meticulous person,pessoa organizada e meticulosa
organized and positive person,pessoa organizada e positiva
organizer,organizador
organizing skills,organizando habilidades
originality,originalidade
outgoing,extrovertido
outgoing personality,personalidade extrovertida
passion,paixão
patience,paciência
patient,paciente
patient patient,paciente paciente
people and time management,pessoas e gestão do tempo
people management,gestão de Pessoas
people management skills,habilidades de gestão de pessoas
people oriented,Pessoas orientadas
people skills,habilidades de pessoas
people with customer oriented,pessoas com orientada para o cliente
people with these skills,pessoas com essas habilidades
peopleempathy,peopleempathy
personable,apresentável
personal attributes excellent management and leadership skills,atributos pessoais excelente gestão e habilidades de liderança
personal diary management,gerenciamento diário pessoal
personal expenses management,gestão de despesas de pessoal
personal integrity,integridade pessoal
personal management,gerenciamento pessoal
personal management skills,habilidades de gerenciamento de pessoal
personal specification line management,gerenciamento de linha de especificação pessoal
personal standards and integrity,normas e integridade pessoal
personal time management,gestão do tempo pessoal
personal time management skills,habilidades de gerenciamento de tempo pessoal
personality and people skills,personalidade e habilidades de pessoas
personality effective organisational skills,personalidade habilidades organizacionais eficazes
personality excellent communication skills,personalidade excelentes habilidades de comunicação
personality excellent interpersonal skills,personalidade excelentes habilidades interpessoais
personality good communication skills,Boa capacidade de comunicação de personalidade
planning and organisation skills,habilidades de planejamento e organização
planning and organisational skills,habilidades de planejamento e organizacionais
planning and organizational skills,habilidades de planejamento e organizacionais
planning skills,habilidades de planejamento
planningcoordinating skills,habilidades planningcoordinating
pleasant,agradável
polite,educado
political awareness,consciência política
positive,positivo
positive and enthusiastic attitude,positivo e atitude entusiasta
positive attitude,atitude positiva
positive can do attitude,positivo pode fazer a atitude
positive cando attitude,atitude positiva cando
practical,prático
presentation,apresentação
presentation skills,habilidades de apresentação
prioritization and organization skills,habilidades de priorização e organização
prioritization skills,habilidades de priorização
proactive,proativo
proactive approach,abordagem pró-ativa
proactive in approach,proativo na abordagem
proactive proactive,pró-ativa pró-ativa
problem solver,solucionador de problema
problem solving,Solução de problemas
problem solving abilities,habilidades resolução de problemas
problem solving and analytical abilities,resolução de problemas e habilidades analíticas
problem solving orientation,orientação resolução de problemas
problem solving skills,habilidades para resolver problemas
problemsolving,Solução de problemas
problemsolving and analytical skills,resolução de problemas e habilidades analíticas
problemsolving and cando attitude,resolução de problemas e atitude cando
problemsolving and organisational skills,resolução de problemas e habilidades organizacionais
problemsolving and responsible attitude,resolução de problemas e atitude responsável
problemsolving attitude,atitude de resolução de problemas
problemsolving skills,habilidades para resolver problemas
productive,produtivo
productiveefficient,productiveefficient
professional,profissional
professional and articulate manner,forma profissional e articulada
professional attitude,Atitude profissional
professional ethics,éticas profissionais
professional manner,maneira profissional
professional personality,personalidade profissional
professional presentation,apresentação profissional
professional telephone manner,forma de telefone profissional
professional with strong presentation,profissional com apresentação forte
professionalism,profissionalismo
progressive forward thinking,visão de futuro progressiva
project management,Gerenciamento de Projetos
project management skills,habilidades de gerenciamento de projetos
prompt,pronto
proposal writing,elaboração de propostas
proposal writing skills,habilidades de escrita proposta
public relations skills,habilidades de relações públicas
public speaking,falar em público
public speaking skills,habilidades de falar em público
punctual,pontual
punctuality,pontualidade
quality minded,qualidade importasse
quick learner,Aprendiz rápido
quick learning,Aprendizagem rapida
quick learning skills,habilidades de aprendizagem rápidas
quick to learn,rápido para aprender
quotationproposal writing strong sales skills,quotationproposal escrevendo habilidades de vendas fortes
reasoning skills,habilidades de raciocínio
relationship builder,construtor de relacionamento
relationship rapport builder,construtor de relacionamento relacionamento
reliable,confiável
reporting skills,habilidades de comunicação
reporting strong coordination skills,relatando fortes habilidades de coordenação
research and analysis skills,habilidades de pesquisa e análise
research skills,habilidades de pesquisa
respect for colleagues,respeito pelos colegas
respect for diversity,respeito pela diversidade
respect for their colleagues,respeito dos seus colegas
respectful,respeitoso
responsable,responsável
responsibility,responsabilidade
responsible,responsável
responsible and resultsdriven personality,personalidade responsável e resultsdriven
responsible delivering person,responsável pessoa que entrega
responsible person,pessoa responsável
result orientation,orientação resultado
results driven,voltada para resultados
results driven orientation,orientação resultados accionado
results orientation,Orientação dos resultados
results oriented,orientada para resultados
rigorous,rigoroso
run and develop the department,executar e desenvolver o departamento
run the busy kitchen department,administrar o departamento cozinha movimentada
run the department,administrar o departamento
run the maintenance department,executar o departamento de manutenção
sales driven,vendas impulsionado
schedule,cronograma
scheduling and planning skills,habilidades de programação e planejamento
scheduling skills,habilidades de programação
self awareness,auto-consciência
self confidence,auto confiança
self confidence and initiative,auto-confiança e iniciativa
self confident,auto-confiante
self directed,auto-dirigida
self directed learning,Aprendizagem autônoma
self directeddirected,auto directeddirected
self directive learning,aprendizagem directiva auto
self discipline initiative,iniciativa disciplina auto
self disciplined safety awareness,sensibilização para a segurança auto-disciplinado
self driven,auto impulsionado
self initiative,iniciativa própria
self learning,auto-aprendizagem
self management and organisational skills,auto-gestão e habilidades organizacionais
self managing confident,auto gestão confiante
self motivated,auto motivado
self motivated and driven,auto-motivado e conduzido
self motivated and organized,auto-motivado e organizado
self motivated good organisational skills,auto boas motivado habilidades organizacionais
self motivatedself,auto motivatedself
self motivation,auto-motivação
self motivation and initiative,auto-motivação e iniciativa
self organisational skills,auto habilidades organizacionais
self starter,proativo
self starter with initiative,auto arranque com a iniciativa
self starters,auto starters
selfconfident,Confiante
selfdevelopmentselflearning,selfdevelopmentselflearning
selflearner,auto aprendizado
selflearning,auto-aprendizagem
selflearningdevelopment,selflearningdevelopment
sense of business ethics,senso de ética nos negócios
sense of responsibility,senso de responsabilidade
sensitivity,sensibilidade
service mentality,mentalidade de serviço
service oriented mentality,orientada a serviços mentalidade
sharp,afiado
skilled negotiator,negociador hábil
skilled sales negotiator,negociador de vendas qualificados
skills ability to communicate,habilidades capacidade de comunicar
skills and ability to communicate,habilidades e capacidade de comunicar
skills and in producing training,habilidades e na formação produzindo
skills be able to communicate,habilidades de ser capaz de comunicar
skills by participating in onthejob training,competências através da participação na formação onthejob
skills experience in training,habilidades de experiência em treinamento
skills in motivation and training,habilidades em motivação e treinamento
skills in research training,habilidades em formação em investigação
skills in the training,habilidades na formação
skills to effectively communicate,habilidades para comunicar eficazmente
skills with ability to communicate,habilidades com capacidade de comunicar
skillsability to inform and persuade,skillsability para informar e persuadir
smart,inteligente
sociable,sociável
sociable person personality,personalidade pessoa sociável
sociable personality,personalidade sociável
social and interpersonal skills,social e habilidades interpessoais
social media skills,habilidades de mídia social
social networking skills,habilidades de redes sociais
social skills,habilidades sociais
solution oriented,solução orientada
solution orientedyou,solução orientedyou
solvingquick learning,aprendizagem solvingquick
sound business judgment,julgamento de negócios som
sound judgment,bom senso
specificationsense of responsibility,specificationsense de responsabilidade
staff and management,pessoal e de gestão
staff management,gerenciamento de equipe
staff management and leadership skills,gestão de pessoal e habilidades de liderança
staff management skills,habilidades de gestão de pessoal
strategic planning,planejamento estratégico
strategic thinking,pensamento estratégico
strategic thinking and planning,pensamento e planejamento estratégico
strategic vision,visão estratégica
supervisory and training skills,habilidades de supervisão e formação
supervisory skills,Habilidades de supervisão
sympathy,simpatia
systematic,sistemático
systematic and controlled manner,forma sistemática e controlada
systematic and methodical manner,forma sistemática e metódica
systematic and organised manner,forma sistemática e organizada
systematic and professional manner,forma sistemática e profissional
systematic and structured manner,forma sistemática e estruturada
systematic manner,Maneira sistemática
tact,tato
tactful,de tato
tactful and diplomatic manner,tato e forma diplomática
tactful and discreet manner,tato e forma discreta
tactful but assertive manner,modo discreto mas firme
tactful manner,forma diplomática
take initiative,tomar iniciativa
take the initiative,tomar a iniciativa
take the lead initiative,tomar a iniciativa de chumbo
talented,talentoso
team and a commitment,equipe e um compromisso
team builder,construtor da equipe
team building,consolidação de equipe
team building and interpersonal skills,edifício da equipe e habilidades interpessoais
team building skills,habilidades de construção de equipe
team commitment,comprometimento da equipe
team customer service oriented,atendimento ao cliente equipa orientada
team demonstrate a commitment,equipe demonstrar um compromisso
team engagement management skills,habilidades de gerenciamento de engajamento da equipe
team excellent time management and prioritisation skills,equipe excelente gestão do tempo e habilidades de priorização
team interaction,interação da equipe
team interaction and interpersonal skills,interação da equipe e habilidades interpessoais
team interaction skills,habilidades de interação da equipe
team leader,Lider do Time
team leader personality,personalidade líder da equipe
team management,gerenciamento de equipe
team management skills,habilidades de gerenciamento de equipe
team member,membro da equipe
team members and work,os membros da equipe e do trabalho
team members work,membros da equipe de trabalho
team of building,equipe de edifício
team oriented,time orientado
team player,jogador da equipe
team player and work,jogador da equipe e trabalho
team s customer interaction,equipe s interação com o cliente
team spirit,Espírito de equipe
team to ensure commitment,equipe para garantir o compromisso
team who genuinely work,equipe que trabalho genuinamente
team with a commitment,equipe com um compromisso
team work,trabalho em equipe
team work and communication skills,trabalho em equipe e habilidades de comunicação
team work approach,abordagem trabalho em equipe
team work custom interaction skills,equipe habilidades de interação trabalhos por encomenda
team work skills,habilidades de trabalho em grupo
team worker,trabalhador equipe
team worker with commitment,trabalhador equipe com compromisso
team working,trabalho em equipe
team working and communication skills,trabalho em equipe e habilidades de comunicação
team working negotiation skills,equipe habilidades de negociação de trabalho
team working skills,habilidades da equipe de trabalho
team you will work,equipa que irá trabalhar
teamwork,trabalho em equipe
teamwork and leadership skills,habilidades de trabalho em equipe e liderança
teamwork approach,abordagem o trabalho em equipe
teamwork skills,habilidades de trabalho em grupo
teamwork skills accuracy skills,habilidades de trabalho em equipe habilidades de precisão
teamworker,pastor de
telephone communication skills,habilidades de comunicação de telefone
telephone sales skills,habilidades de vendas por telefone
telephone skills,habilidades de telefone
thorough,completo
time management,gerenciamento de tempo
time management skills,Habilidades de gestão de tempo
timemanagement and communication skills,habilidades timemanagement e comunicação
timemanagement and negotiation skills,habilidades timemanagement e negociação
timemanagement skills,Habilidades de gestão de tempo
to design and write,projetar e escrever
to read and write,a ler e escrever
to write,escrever
tolerance,tolerância
tolerant,tolerante
training and motivational skills,treinamento e habilidades motivacionais
training key skills,competências-chave de treinamento
training skills,treinamento de habilidades
training skills coaching skills,treinamento de habilidades habilidades de coaching
training to update skills,formação para actualização de competências
trouble shooting,solução de problemas
understanding,compreensão
understanding understanding,compreensão compreensão
verbal and communications skills,verbais e habilidades de comunicação
verbal and writing skills,verbal e escrita
verbal communication skills,habilidades de comunicação verbal
verbal skills,habilidades verbais
verbal written communication skills,verbal habilidades de comunicação escrita
verbaltelephone communication skills,habilidades de comunicação verbaltelephone
versatility,versatilidade
vigorous,vigoroso
warm,caloroso
well organized,bem organizado
wellorganized,bem organizado
willing to learn,querendo aprender
willing to travel,disposto a viajar
willingness and ability to listen,vontade e capacidade para ouvir
willingness to learn,vontade de aprender
willingness to listen,disposição para ouvir
willingness to travel,Disponibilidade para viagens
work calmly in a high pressure,calmamente trabalho em um de alta pressão
work collaboratively,trabalhar de forma colaborativa
work ethic,Ética de trabalho
work in a high pressure,de trabalho em um de alta pressão
work in a small team,trabalho em uma equipe pequena
work in high pressure,trabalho em alta pressão
work irregular hours,trabalhar horas irregulares
work occasional irregular hours,trabalhar horas irregulares ocasionais
work of others in a small team,trabalho dos outros em uma equipe pequena
work to deadlines in a pressure,trabalhar com prazos de pressão
work under extreme pressure,trabalho sob pressão extrema
work under pressure,Trabalhar sob pressão
work under stress,trabalho sob stress
work well in a team,trabalhar bem em equipe
works collaboratively,trabalha em colaboração
writing skills,habilidades de escrita
written communication skills,capacidade de comunicação escrita
written skills,habilidades de escrita