name,Qty
ativo,474
profissional,307
lógico,298
completo,234
responsável,224
inovação,164
construção,150
autonomia,137
responsabilidade,134
flexível,120
colaborativo,117
tato,116
afiado,115
disciplina,115
desafiador,102
disponibilidade,91
inteligente,89
eficiente,78
líder,77
positivo,70
criatividade,65
independente,64
treinamento,64
criativo,63
proativo,59
maneira,56
trabalho em equipe,52
comprometido,49
escrever,47
organizado,47
empreendedor,40
paixão,37
ação orientada,36
vontade de aprender,36
motivado,35
comprometimento,30
energia,30
iniciativa,30
curioso,28
analítico,27
atento,26
critério,26
preciso,26
compreensão,25
comunicativo,25
flexibilidade,25
produtivo,25
consistente,24
empatia,20
Liderança,19
pronto,17
articular,16
fidelidade,16
prático,16
tomar decisões,15
agradável,14
apresentação,13
talentoso,13
verbal e escrita,13
inspirado,12
paciente,12
habilidades de comunicação,11
atenção aos detalhes,10
atenção aos detalhes,10
competitivo,10
ético,10
integridade,10
pontual,10
maturidade,9
motivação,9
animado,8
capacidade de comunicação,8
cronograma,8
humor,8
dedicação,7
legais,7
organizacional,7
bem organizado,6
entusiasmo,6
habilidades analíticas,6
mente aberta,6
capaz de se comunicar,5
Espírito de equipe,5
versatilidade,5
confiante,4
confiável,4
Disponibilidade para viagens,4
eficácia,4
habilidades de programação,4
pensamento crítico,4
respeitoso,4
seja criativo,4
visão estratégica,4
atento aos detalhes,3
bom senso,3
capacidade de aprender,3
capacidade de vender,3
dedicada,3
entusiasmado,3
habilidades de liderança,3
habilidades organizacionais,3
honestidade,3
Inovativa,3
pessoa responsável,3
planejamento estratégico,3
tolerante,3
ambicioso,2
assertividade,2
atitude positiva,2
calma,2
capacidade de adaptação,2
cortesia,2
detalhado,2
gerenciamento de equipe,2
habilidades interpessoais,2
habilidades para resolver problemas,2
paciência,2
pontualidade,2
precisão,2
simpatia,2
Solução de problemas,2
solucionador de problema,2
aconselhamento,1
alcançar seus objetivos,1
capacidade de analisar,1
capacidade de interagir,1
capacidade de priorizar,1
conceituação,1
disciplinado,1
educado,1
Gerenciamento de Projetos,1
gerenciamento de tempo,1
habilidades de análise,1
habilidades de comunicação interpessoal,1
Habilidades de gestão de tempo,1
maduro,1
membro da equipe,1
negociador,1
pensamento criativo,1
pensamento inovador,1
pessoa dinâmica,1
profissionalismo,1
relações humanas,1
sensibilidade,1
senso de responsabilidade,1
tolerância,1
tomar iniciativa,1
trabalhador,1
trabalhar bem em equipe,1
trabalhar de forma colaborativa,1
visão de futuro,1